Time,CA
1,3.055555556
6,9.777777778
12,19.55555556
20,37.16666667
24,39.16666667
28,60.72222222
34,44.19444444
41,30.55555556
48,31.19444444
52,25.91666667
58,21.80555556
66,16.75
75,24.27777778
79,20.08333333
87,16.33333333
95,17.13888889
