Time,Curine
1,1.615803692
2,2.81819737
3,3.908645934
4,4.967402709
5,6.176917689
7,7.19381837
9,8.285456473
12,10.29898954
13,11.23476481
15,12.52230957
18,13.3606917
21,14.72529333
24,15.53737969
26,16.57971426
30,18.07400419
32,18.66688604
36,19.68972654
40,21.00267827
44,21.44267558
47,22.13675472
50,22.60716021
54,24.10755928
56,24.62398342
61,24.32501276
69,25.63417484
78,27.30332377
89,29.7103674
