Time (days),Plasma conc. (Ug/ml)
7,18.7272535
14,23.47644584
28,93.6362675
42,90.90012264
56,106.8872569
84,118.8907728
112,174.331551
140,150.1359822
169,193.3447149
183,172.1356799
185,255.0156564
187,292.2158001
189,208.0878533
196,242.5429096
203,208.5975736
210,152.6820997
217,172.1597748
245,175.4252637
273,152.4774167
329,110.0772316
357,93.621115
371,87.88924548
399,92.15405448
427,103.1580019
455,85.95121532
483,80.48066441
511,100.7216779
539,60.04912676
