Time,CA
0.5,12.66431339
1,7.568583816
2,7.311898093
7,5.744158385
14,6.27364463
21,7.44196754
28,8.068526263
42,7.760426658
56,6.783562905
70,6.985381575
105,3.427464221
161,2.895675862
